ID,CreatedAt,Text,Retweets,Likes
1979851629043327316,2025-10-19 10:06:26+00:00,"Cool summers, stunning visuals! Hisense AC and TV are now available at unbeatable prices. Shop the Amazon Sale now: https://t.co/a9oldVW8Ll @Hisense_IND #HisenseIndia https://t.co/8MzUunn50T",0,0
1979851622080761920,2025-10-19 10:06:25+00:00,"The Global No.1 is here with unbeatable deals! 🎉 Upgrade to Hisense TV or Hisense AC during the Live Amazon Sale. Shop smart today: https://t.co/BMj6d9uy2c
https://t.co/kKIHpaXg03",0,0
1979851605156811261,2025-10-19 10:06:21+00:00,"Smarter TV, cooler AC, happier home! 😎
The Hisense Amazon Sale is LIVE — upgrade your lifestyle today.
@Hisense_IND #HisenseIndia https://t.co/3Sh80EOeud",0,0
1979851574055928244,2025-10-19 10:06:13+00:00,"Don’t wait—upgrade now! ⚡
Hisense Amazon Sale is LIVE with special offers on Hisense TV &amp; AC.
Shop: https://t.co/1Snu7QTXIg
@Hisense_IND #HisenseIndia",0,0
1979851553973637252,2025-10-19 10:06:08+00:00,"The Hisense Amazon Sale is LIVE with powerful deals on TVs &amp; ACs.
Your home deserves this upgrade: https://t.co/4d05f1eDv6 #HisenseIndia
https://t.co/9HqMkjFbML",0,0
1979851539255808123,2025-10-19 10:06:05+00:00,"Bring home Global No.1 technology today! The Hisense Amazon Sale is Live — get your dream Hisense TV or Hisense AC before it’s gone! ➡️ https://t.co/XU487WBczL #HisenseIndia
@Hisense_IND https://t.co/mLDA2Zndj2",0,0
1979851499397361721,2025-10-19 10:05:55+00:00,"Celebrate innovation with the Global No.1 — Hisense India!
Get stunning deals on Hisense TVs &amp; ACs this Amazon Sale.
Smarter living starts with one click ➡️
https://t.co/7vH0bB080D
@Hisense_IND",0,0
1979851447136387183,2025-10-19 10:05:43+00:00,"Hisense brings you premium TVs &amp; ACs at Amazon Sale prices that amaze!
Shop before it’s gone: https://t.co/27GMI7h9hl
@Hisense_IND #HisenseIndia
https://t.co/zKk6HNXm0v",0,0
1979851443395047657,2025-10-19 10:05:42+00:00,Your perfect home setup starts here! Grab Hisense TV and Hisense AC at incredible prices in the Amazon Sale. Shop the Global No.1 brand today: https://t.co/xKRSfMjZ5M #HisenseIndia https://t.co/g2Bo3TUj97,0,0
1979851430262620219,2025-10-19 10:05:39+00:00,"Global No.1 technology at unbeatable prices! 🌍
Don’t miss the Hisense Amazon Sale — shop Hisense TV and AC now.
@Hisense_IND #HisenseIndia https://t.co/xY1oN6nTl9",0,0
1979851416157163685,2025-10-19 10:05:36+00:00,"Celebrate Global No.1 success  
Hisense offers unmatched quality  
Amazon Sale brings the best deals  
Proud to choose #HisenseIndia
https://t.co/4BKHW9sWi5",0,0
1979851410163597392,2025-10-19 10:05:34+00:00,Upgrade your home entertainment today! Hisense TV and AC are on massive Amazon Sale. Don’t miss the Global No.1 experience: https://t.co/dbGsCc7OXY @Hisense_IND #HisenseIndia,0,0
1979851405293965632,2025-10-19 10:05:33+00:00,"Upgrade your home with Hisense! 💫
The Amazon Sale is LIVE — grab amazing deals on Hisense TV and Hisense AC today.
@Hisense_IND #HisenseIndia https://t.co/2ZalxIF0Vv",0,0
1979851400319508615,2025-10-19 10:05:32+00:00,"Time to experience perfection! The Hisense Amazon Sale brings you Global No.1 quality at unbeatable prices. https://t.co/YZmjCjEVzk @Hisense_IND #HisenseIndia
https://t.co/rkqtSbVMnc",0,0
1979851383991074923,2025-10-19 10:05:28+00:00,"Upgrade your space the smart way with Hisense—Global No. 1 for a reason!
Enjoy cinematic visuals and powerful cooling at unbeatable prices.
The Amazon Sale is Live and waiting for you.
Don’t miss out! @Hisense_IND #HisenseIndia ➡️ https://t.co/kzTvPdjAWL",0,0
1979851383487779057,2025-10-19 10:05:28+00:00,"Smarter TV, cooler AC, happier home! 😎
The Hisense Amazon Sale is LIVE — upgrade your lifestyle today.
@Hisense_IND #HisenseIndia https://t.co/nGM357KH8C",0,0
